E:/PythonProject/get12306/get_all_train.py:28: DeprecationWarning: use options instead of chrome_options
  browser = webdriver.Chrome(chrome_options=chrome_options)
['4032', '哈尔滨东', '五常', '安家', '五常', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '冯屯', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '塔哈', '', '', '', '', '?78.0', '?53.0', '', '?7.0', '?7.0']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '富裕', '', '', '', '', '?85.5', '?56.5', '', '?10.5', '?10.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '团结', '', '', '', '', '?90.5', '?59.5', '', '?13.5', '?13.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '拉哈', '', '', '', '', '?95.5', '?62.5', '', '?16.5', '?16.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '六合镇', '', '', '', '', '?97.5', '?63.5', '', '?17.5', '?17.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '八方', '', '', '', '', '?99.5', '?64.5', '', '?18.5', '?18.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '讷河', '', '', '', '', '?101.5', '?66.5', '', '?20.5', '?20.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '恒地营', '', '', '', '', '?105.5', '?67.5', '', '?21.5', '?21.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '老莱', '', '', '', '', '?109.5', '?71.5', '', '?25.5', '?25.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '伊拉哈', '', '', '', '', '?112.5', '?72.5', '', '?26.5', '?26.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '九三', '', '', '', '', '?115.5', '?75.5', '', '?29.5', '?29.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '弯道', '', '', '', '', '?115.5', '?75.5', '', '?29.5', '?29.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '新高峰', '', '', '', '', '?120.5', '?78.5', '', '?32.5', '?32.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '嫩江', '', '', '', '', '?124.5', '?81.5', '', '?35.5', '?35.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '哈达阳', '', '', '', '', '?124.5', '?81.5', '', '?35.5', '?35.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '哈力图', '', '', '', '', '?127.5', '?82.5', '', '?36.5', '?36.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '红彦', '', '', '', '', '?130.5', '?84.5', '', '?38.5', '?38.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '达拉滨', '', '', '', '', '?134.5', '?86.5', '', '?40.5', '?40.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '大杨树东', '', '', '', '', '?140.5', '?90.5', '', '?44.5', '?44.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '大杨树', '', '', '', '', '?140.5', '?90.5', '', '?44.5', '?44.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '春亭阁', '', '', '', '', '?143.5', '?91.5', '', '?45.5', '?45.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '乌鲁布铁', '', '', '', '', '?146.5', '?93.5', '', '?47.5', '?47.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '朝阳村', '', '', '', '', '?146.5', '?93.5', '', '?47.5', '?47.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '讷尔克气', '', '', '', '', '?149.5', '?94.5', '', '?48.5', '?48.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '白桦排', '', '', '', '', '?158.5', '?102.5', '', '?54.5', '?54.5']
['4045', '齐齐哈尔', '加格达奇', '齐齐哈尔', '加格达奇', '', '', '', '', '?167.5', '?107.5', '', '?56.5', '?56.5']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '塔哈', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
['4045', '齐齐哈尔', '加格达奇', '冯屯', '富裕', '', '', '', '', '?81.5', '?55.0', '', '?9.0', '?9.0']
