['D28', '哈尔滨西', '天津西', '德惠西', '长春西', '', '¥41.5', '¥25.5', '', '', '', '', '', '', '¥25.5']
['D28', '哈尔滨西', '天津西', '德惠西', '沈阳北', '', '¥188.5', '¥117.5', '', '', '', '', '', '', '¥117.5']
['D28', '哈尔滨西', '天津西', '德惠西', '葫芦岛北', '', '¥319.5', '¥200.0', '', '', '', '', '', '', '¥200.0']
['D28', '哈尔滨西', '天津西', '德惠西', '绥中北', '', '¥348.5', '¥218.5', '', '', '', '', '', '', '¥218.5']
['D28', '哈尔滨西', '天津西', '德惠西', '山海关', '', '¥380.5', '¥237.5', '', '', '', '', '', '', '¥237.5']
['D28', '哈尔滨西', '天津西', '德惠西', '北戴河', '', '¥399.0', '¥249.5', '', '', '', '', '', '', '¥249.5']
['D28', '哈尔滨西', '天津西', '德惠西', '唐山', '', '¥461.0', '¥288.5', '', '', '', '', '', '', '¥288.5']
['D28', '哈尔滨西', '天津西', '德惠西', '滨海西', '', '¥498.5', '¥312.0', '', '', '', '', '', '', '¥312.0']
['D28', '哈尔滨西', '天津西', '德惠西', '天津西', '', '¥520.0', '¥325.0', '', '', '', '', '', '', '¥325.0']
['D28', '哈尔滨西', '天津西', '长春西', '沈阳北', '', '¥146.5', '¥91.5', '', '', '', '', '', '', '¥91.5']
['D28', '哈尔滨西', '天津西', '长春西', '葫芦岛北', '', '¥278.0', '¥174.0', '', '', '', '', '', '', '¥174.0']
['D28', '哈尔滨西', '天津西', '长春西', '绥中北', '', '¥307.0', '¥192.5', '', '', '', '', '', '', '¥192.5']
['D28', '哈尔滨西', '天津西', '长春西', '山海关', '', '¥339.0', '¥211.5', '', '', '', '', '', '', '¥211.5']
['D28', '哈尔滨西', '天津西', '长春西', '北戴河', '', '¥357.5', '¥223.5', '', '', '', '', '', '', '¥223.5']
['D28', '哈尔滨西', '天津西', '长春西', '唐山', '', '¥419.5', '¥262.5', '', '', '', '', '', '', '¥262.5']
['D28', '哈尔滨西', '天津西', '长春西', '滨海西', '', '¥457.0', '¥286.0', '', '', '', '', '', '', '¥286.0']
