['Z4', '重庆北', '北京西', '重庆北', '保定', '', '', '', '', '¥585.0', '¥585.0', '¥370.0', '', '¥217.0', '¥217.0']
['Z4', '重庆北', '北京西', '重庆北', '北京西', '', '', '', '', '¥613.0', '¥613.0', '¥389.0', '', '¥229.0', '¥229.0']
['Z4', '重庆北', '北京西', '恩施', '宜昌东', '', '', '', '', '¥118.5', '¥118.5', '¥78.5', '', '¥32.5', '¥32.5']
['Z4', '重庆北', '北京西', '恩施', '荆州', '', '', '', '', '¥140.5', '¥140.5', '¥92.5', '', '¥46.5', '¥46.5']
['Z4', '重庆北', '北京西', '恩施', '汉口', '', '', '', '', '¥197.0', '¥197.0', '¥129.0', '', '¥72.0', '¥72.0']
['Z4', '重庆北', '北京西', '恩施', '石家庄', '', '', '', '', '¥464.5', '¥464.5', '¥296.5', '', '¥173.5', '¥173.5']
['Z4', '重庆北', '北京西', '恩施', '保定', '', '', '', '', '¥504.5', '¥504.5', '¥322.5', '', '¥189.5', '¥189.5']
['Z4', '重庆北', '北京西', '恩施', '北京西', '', '', '', '', '¥530.0', '¥530.0', '¥337.0', '', '¥198.0', '¥198.0']
['Z4', '重庆北', '北京西', '宜昌东', '荆州', '', '', '', '', '¥90.5', '¥90.5', '¥60.5', '', '¥14.5', '¥14.5']
['Z4', '重庆北', '北京西', '宜昌东', '汉口', '', '', '', '', '¥135.5', '¥135.5', '¥89.5', '', '¥43.5', '¥43.5']
['Z4', '重庆北', '北京西', '宜昌东', '石家庄', '', '', '', '', '¥409.5', '¥409.5', '¥261.5', '', '¥152.5', '¥152.5']
['Z4', '重庆北', '北京西', '宜昌东', '保定', '', '', '', '', '¥450.5', '¥450.5', '¥288.5', '', '¥168.5', '¥168.5']
['Z4', '重庆北', '北京西', '宜昌东', '北京西', '', '', '', '', '¥476.5', '¥476.5', '¥304.5', '', '¥177.5', '¥177.5']
['Z4', '重庆北', '北京西', '荆州', '汉口', '', '', '', '', '¥118.5', '¥118.5', '¥78.5', '', '¥32.5', '¥32.5']
['Z4', '重庆北', '北京西', '荆州', '石家庄', '', '', '', '', '¥381.5', '¥381.5', '¥244.5', '', '¥141.5', '¥141.5']
['Z4', '重庆北', '北京西', '荆州', '保定', '', '', '', '', '¥422.5', '¥422.5', '¥268.5', '', '¥156.5', '¥156.5']
['Z4', '重庆北', '北京西', '荆州', '北京西', '', '', '', '', '¥464.5', '¥464.5', '¥296.5', '', '¥173.5', '¥173.5']
['Z4', '重庆北', '北京西', '汉口', '石家庄', '', '', '', '', '¥324.0', '¥324.0', '¥207.0', '', '¥119.0', '¥119.0']
['Z4', '重庆北', '北京西', '汉口', '保定', '', '', '', '', '¥360.5', '¥360.5', '¥232.5', '', '¥135.5', '¥135.5']
['Z4', '重庆北', '北京西', '汉口', '北京西', '', '', '', '', '¥409.5', '¥409.5', '¥261.5', '', '¥152.5', '¥152.5']
['Z4', '重庆北', '北京西', '石家庄', '保定', '', '', '', '', '¥102.5', '¥102.5', '¥67.5', '', '¥21.5', '¥21.5']
['Z4', '重庆北', '北京西', '石家庄', '北京西', '', '', '', '', '¥135.5', '¥135.5', '¥89.5', '', '¥43.5', '¥43.5']
['Z4', '重庆北', '北京西', '保定', '北京西', '', '', '', '', '¥104.5', '¥104.5', '¥69.5', '', '¥23.5', '¥23.5']
['Z5', '北京西', '南宁', '北京西', '石家庄', '', '', '', '', '¥135.5', '¥135.5', '¥89.5', '', '¥43.5', '¥43.5']
['Z5', '北京西', '南宁', '北京西', '郑州', '', '', '', '', '¥251.0', '¥251.0', '¥163.0', '', '¥93.0', '¥93.0']
['Z5', '北京西', '南宁', '北京西', '武昌', '', '', '', '', '¥409.5', '¥409.5', '¥261.5', '', '¥152.5', '¥152.5']
['Z5', '北京西', '南宁', '北京西', '长沙', '', '', '', '', '¥504.5', '¥504.5', '¥322.5', '', '¥189.5', '¥189.5']
['Z5', '北京西', '南宁', '北京西', '衡阳', '', '', '', '', '¥542.0', '¥542.0', '¥343.0', '', '¥201.0', '¥201.0']
['Z5', '北京西', '南宁', '北京西', '永州', '', '', '', '', '¥585.0', '¥585.0', '¥370.0', '', '¥217.0', '¥217.0']
['Z5', '北京西', '南宁', '北京西', '桂林北', '', '', '', '', '¥629.0', '¥629.0', '¥399.0', '', '¥236.0', '¥236.0']
['Z5', '北京西', '南宁', '北京西', '柳州', '', '', '', '', '¥673.0', '¥673.0', '¥426.0', '', '¥251.0', '¥251.0']
['Z5', '北京西', '南宁', '北京西', '南宁东', '', '', '', '', '¥718.5', '¥718.5', '¥455.5', '', '¥268.5', '¥268.5']
['Z5', '北京西', '南宁', '北京西', '南宁', '', '', '', '', '¥718.5', '¥718.5', '¥455.5', '', '¥268.5', '¥268.5']
['Z5', '北京西', '南宁', '石家庄', '郑州', '', '', '', '', '¥166.5', '¥166.5', '¥110.5', '', '¥62.5', '¥62.5']
['Z5', '北京西', '南宁', '石家庄', '武昌', '', '', '', '', '¥336.0', '¥336.0', '¥215.0', '', '¥124.0', '¥124.0']
['Z5', '北京西', '南宁', '石家庄', '长沙', '', '', '', '', '¥438.5', '¥438.5', '¥280.5', '', '¥163.5', '¥163.5']
['Z5', '北京西', '南宁', '石家庄', '衡阳', '', '', '', '', '¥476.5', '¥476.5', '¥304.5', '', '¥177.5', '¥177.5']
['Z5', '北京西', '南宁', '石家庄', '永州', '', '', '', '', '¥515.0', '¥515.0', '¥328.0', '', '¥192.0', '¥192.0']
